""	"0"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"	"22"	"23"	"24"	"25"	"26"	"27"	"28"	"29"	"30"	"31"	"32"
"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"4.883301 +- 0.143715"	""	"4.883174 +- 0.148445"	"4.881949 +- 0.156719"	"4.881791 +- 0.157686"	"4.879918 +- 0.251135"	"4.876702 +- 0.281951"	"4.861773 +- 0.167326"	"4.844887 +- 0.322061"	"4.807455 +- 0.323446"	"4.764606 +- 0.223006"	"4.633599 +- 0.207928"	"4.249170 +- 0.128882"	"4.041876 +- 0.106247"	"4.194520 +- 0.093224"	"4.633724 +- 0.160132"	"4.858366 +- 0.181768"
"0.1"	""	""	"4.863823 +- 0.140873"	"1.894159 +- 0.038191"	"1.646389 +- 0.036099"	"-0.000000 +- 0.034740"	"0.290772 +- 0.032197"	"3.138785 +- 0.061785"	"4.714892 +- 0.164240"	"4.778307 +- 0.189597"	"4.768475 +- 0.183537"	"4.711777 +- 0.163731"	"4.660630 +- 0.084299"	"4.601361 +- 0.167063"	"4.544536 +- 0.111548"	"4.467609 +- 0.113595"	"4.400089 +- 0.080356"	"4.344670 +- 0.087638"	"4.293454 +- 0.135477"	"4.239267 +- 0.058005"	"4.187035 +- 0.061498"	"4.138917 +- 0.105513"	"4.084741 +- 0.090802"	"4.010605 +- 0.087869"	"3.919191 +- 0.130436"	"3.830249 +- 0.088428"	"3.780746 +- 0.124621"	"3.752778 +- 0.104931"	"3.742857 +- 0.092819"	"3.785964 +- 0.091446"	"4.204730 +- 0.119117"	"4.829909 +- 0.132484"	""
"0.2"	""	""	"4.357780 +- 0.146386"	"2.601019 +- 0.050297"	"2.094071 +- 0.034872"	"1.063633 +- 0.033204"	"1.291669 +- 0.039056"	"3.292587 +- 0.045986"	"3.257625 +- 0.044924"	"3.381669 +- 0.051218"	"3.951081 +- 0.070656"	"4.254063 +- 0.090189"	"4.400242 +- 0.091473"	"4.467015 +- 0.187287"	"4.546150 +- 0.164351"	"4.599721 +- 0.109342"	"4.601439 +- 0.171443"	"4.572846 +- 0.230375"	"4.543962 +- 0.142604"	"4.556763 +- 0.102141"	"4.529889 +- 0.118952"	"4.504706 +- 0.111764"	"4.492380 +- 0.082543"	"4.486892 +- 0.094758"	"4.497155 +- 0.109675"	"4.504259 +- 0.134115"	"4.572792 +- 0.124835"	"4.653299 +- 0.116018"	"4.753958 +- 0.140132"	"4.859771 +- 0.135071"	""	""	""
"0.3"	""	""	""	"4.525343 +- 0.160429"	"4.587970 +- 0.257137"	"3.850343 +- 0.066154"	"3.597120 +- 0.053829"	"3.155288 +- 0.044089"	"3.094652 +- 0.045957"	"3.128869 +- 0.050976"	"2.828292 +- 0.043730"	"2.534622 +- 0.044803"	"2.894445 +- 0.043165"	"3.249653 +- 0.060767"	"3.642117 +- 0.055647"	"4.456144 +- 0.157622"	"4.841742 +- 0.179102"	"4.856105 +- 0.226969"	"4.847705 +- 0.261669"	"4.850101 +- 0.310057"	"4.842001 +- 0.236586"	"4.842562 +- 0.265168"	"4.833874 +- 0.178366"	"4.820852 +- 0.163466"	"4.841207 +- 0.269879"	"4.859414 +- 0.128475"	"4.869876 +- 0.194483"	"4.881104 +- 0.194389"	""	""	""	""	""
"0.4"	""	""	"4.880704 +- 0.189953"	"3.216931 +- 0.050108"	"3.280068 +- 0.053427"	"2.536340 +- 0.043197"	"2.185435 +- 0.044753"	"2.177325 +- 0.042846"	"2.584374 +- 0.043359"	"3.039507 +- 0.041619"	"2.935233 +- 0.045231"	"2.904121 +- 0.042683"	"3.318419 +- 0.054223"	"3.674515 +- 0.042679"	"4.156697 +- 0.118600"	"4.549902 +- 0.128392"	"4.801993 +- 0.219461"	"4.843878 +- 0.253759"	"4.865239 +- 0.147025"	"4.866606 +- 0.136984"	"4.868934 +- 0.341243"	"4.874707 +- 0.143095"	"4.872333 +- 0.201482"	"4.879522 +- 0.276778"	"4.882400 +- 0.161862"	""	""	""	""	""	""	""	""
"0.5"	""	""	"4.869334 +- 0.237462"	"2.457731 +- 0.050346"	"2.377483 +- 0.047682"	"2.572166 +- 0.043913"	"2.562612 +- 0.046810"	"2.576696 +- 0.041538"	"2.960378 +- 0.048027"	"3.441992 +- 0.045526"	"3.708766 +- 0.052590"	"3.926967 +- 0.036126"	"3.996065 +- 0.048962"	"4.132152 +- 0.072696"	"4.227802 +- 0.102652"	"4.420869 +- 0.154939"	"4.545140 +- 0.161812"	"4.585854 +- 0.134545"	"4.652697 +- 0.170467"	"4.683899 +- 0.224867"	"4.782772 +- 0.302329"	"4.854656 +- 0.214460"	"4.880244 +- 0.250696"	""	""	""	""	""	""	""	""	""	""
"0.6"	""	""	"4.882630 +- 0.245343"	"3.138657 +- 0.057146"	"2.989103 +- 0.044664"	"3.197289 +- 0.047561"	"3.199089 +- 0.039517"	"2.778921 +- 0.043323"	"2.892915 +- 0.041848"	"3.002275 +- 0.038748"	"2.842309 +- 0.043382"	"2.797957 +- 0.042356"	"3.068402 +- 0.041574"	"3.256828 +- 0.044963"	"3.435984 +- 0.051132"	"3.796021 +- 0.075047"	"3.944126 +- 0.117840"	"4.325974 +- 0.137898"	"4.557902 +- 0.359406"	"4.686982 +- 0.276911"	"4.830859 +- 0.293518"	"4.879518 +- 0.148156"	""	""	""	""	""	""	""	""	""	""	""
"0.7"	""	""	""	"4.874737 +- 0.376817"	"4.875744 +- 0.172749"	"4.867877 +- 0.083302"	"4.806844 +- 0.114633"	"3.937959 +- 0.064021"	"3.893151 +- 0.072748"	"4.049331 +- 0.065820"	"3.820677 +- 0.064157"	"3.782287 +- 0.057699"	"3.819256 +- 0.051733"	"3.644815 +- 0.063204"	"3.309196 +- 0.083242"	"2.367508 +- 0.072408"	"2.412678 +- 0.108478"	"3.501576 +- 0.078923"	"4.672562 +- 0.206199"	"4.870065 +- 0.192876"	"4.882764 +- 0.238404"	""	""	""	""	""	""	""	""	""	""	""	""
"0.8"	""	""	""	""	""	""	""	""	""	"4.863977 +- 0.268499"	"4.873617 +- 0.162775"	"4.861558 +- 0.203765"	"4.105346 +- 0.135493"	"2.735276 +- 0.099758"	"1.214654 +- 0.075716"	"0.333060 +- 0.088033"	"1.688213 +- 0.089854"	"4.235493 +- 0.139487"	"4.881876 +- 0.230164"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"0.9"	""	""	""	""	""	""	""	""	""	""	""	""	"4.883073 +- 0.125888"	"4.759411 +- 0.101574"	"3.402994 +- 0.084892"	"3.777573 +- 0.145663"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
