""	"0"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"	"22"	"23"	"24"	"25"	"26"	"27"	"28"	"29"	"30"	"31"	"32"	"33"
"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"3.902333 +- 0.094372"	"3.901880 +- 0.122005"	"3.898921 +- 0.111652"	"3.897056 +- 0.099553"	"3.884102 +- 0.030121"	"3.866135 +- 0.092376"	"3.833598 +- 0.094669"	"3.777921 +- 0.074767"	"3.654876 +- 0.062673"	"3.442905 +- 0.040039"	"2.990365 +- 0.022248"	"2.761919 +- 0.015404"	"2.943090 +- 0.021269"	"3.452431 +- 0.067124"	"3.830058 +- 0.085269"	"3.901238 +- 0.104993"
"0.1"	""	""	""	"2.762159 +- 0.049554"	"2.196028 +- 0.025236"	"1.565743 +- 0.020055"	"1.604553 +- 0.015228"	"2.195429 +- 0.023701"	"2.159781 +- 0.023474"	"2.101105 +- 0.015262"	"2.130686 +- 0.017596"	"1.974147 +- 0.012808"	"2.092468 +- 0.020016"	"2.184357 +- 0.016597"	"2.107900 +- 0.014458"	"2.239286 +- 0.014703"	"2.461207 +- 0.017157"	"2.542164 +- 0.015882"	"2.558472 +- 0.015628"	"2.616323 +- 0.024995"	"2.620473 +- 0.021082"	"2.642851 +- 0.013986"	"2.645259 +- 0.019282"	"2.613854 +- 0.020908"	"2.575155 +- 0.023370"	"2.507435 +- 0.021711"	"2.484530 +- 0.030293"	"2.464488 +- 0.021893"	"2.468548 +- 0.018560"	"2.491459 +- 0.017838"	"2.979130 +- 0.028866"	"3.755853 +- 0.083141"	""	""
"0.2"	""	""	"3.847675 +- 0.083640"	"1.729339 +- 0.024276"	"0.036956 +- 0.012111"	"-0.000000 +- 0.011208"	"0.325116 +- 0.012313"	"0.365066 +- 0.011370"	"0.495309 +- 0.012024"	"0.894923 +- 0.011429"	"1.114311 +- 0.010923"	"1.229615 +- 0.014269"	"1.567931 +- 0.017186"	"1.887915 +- 0.013821"	"2.030911 +- 0.015928"	"2.142237 +- 0.013564"	"2.163738 +- 0.017842"	"2.478603 +- 0.014699"	"2.826710 +- 0.027815"	"2.961287 +- 0.019549"	"3.067416 +- 0.023402"	"3.176883 +- 0.031909"	"3.179137 +- 0.033039"	"3.168815 +- 0.026739"	"3.224745 +- 0.034301"	"3.320465 +- 0.039567"	"3.429641 +- 0.055053"	"3.614526 +- 0.051770"	"3.756917 +- 0.079204"	"3.863877 +- 0.078953"	""	""	""	""
"0.3"	""	""	""	"1.760397 +- 0.018474"	"0.200143 +- 0.011367"	"0.381328 +- 0.011883"	"0.471029 +- 0.010027"	"0.554606 +- 0.009049"	"0.650109 +- 0.010054"	"0.931263 +- 0.010898"	"1.166341 +- 0.011389"	"1.460080 +- 0.010467"	"1.722697 +- 0.010563"	"1.799431 +- 0.014049"	"1.743947 +- 0.014112"	"1.611211 +- 0.013645"	"1.513595 +- 0.017225"	"1.904938 +- 0.015605"	"2.570915 +- 0.026140"	"3.419185 +- 0.043357"	"3.772879 +- 0.084897"	"3.762595 +- 0.096123"	"3.774299 +- 0.053373"	"3.777716 +- 0.069655"	"3.808259 +- 0.128906"	"3.870144 +- 0.070285"	"3.890245 +- 0.095081"	"3.901230 +- 0.115110"	""	""	""	""	""	""
"0.4"	""	""	"3.796880 +- 0.102979"	"1.035591 +- 0.015918"	"0.280504 +- 0.012224"	"0.408235 +- 0.012515"	"0.618155 +- 0.015538"	"0.442695 +- 0.011659"	"0.485253 +- 0.012563"	"0.789814 +- 0.013452"	"1.210683 +- 0.015562"	"1.560343 +- 0.014952"	"1.883527 +- 0.017822"	"2.138694 +- 0.017997"	"2.435444 +- 0.019466"	"2.836725 +- 0.024500"	"3.282167 +- 0.047650"	"3.672785 +- 0.067918"	"3.840874 +- 0.061969"	"3.892899 +- 0.142805"	"3.888730 +- 0.072929"	"3.900049 +- 0.090557"	"3.899334 +- 0.093300"	"3.893816 +- 0.056183"	"3.899643 +- 0.089117"	"3.900311 +- 0.084731"	""	""	""	""	""	""	""	""
"0.5"	""	""	"3.613414 +- 0.066882"	"0.513958 +- 0.018365"	"0.361213 +- 0.010643"	"0.713052 +- 0.012677"	"0.763830 +- 0.014521"	"0.376930 +- 0.013175"	"0.427644 +- 0.015219"	"0.755803 +- 0.012934"	"1.102549 +- 0.017058"	"1.814648 +- 0.014950"	"2.479765 +- 0.027851"	"2.904050 +- 0.012860"	"3.406868 +- 0.030429"	"3.668575 +- 0.052803"	"3.826190 +- 0.114877"	"3.854961 +- 0.096974"	"3.886564 +- 0.100782"	"3.898824 +- 0.087680"	"3.902116 +- 0.121971"	"3.902727 +- 0.085302"	""	""	""	""	""	""	""	""	""	""	""	""
"0.6"	""	""	""	"2.507971 +- 0.017683"	"1.570979 +- 0.017145"	"1.548652 +- 0.017087"	"1.154504 +- 0.014855"	"1.067971 +- 0.015489"	"1.217526 +- 0.019699"	"1.570594 +- 0.016719"	"1.947413 +- 0.021914"	"2.380535 +- 0.018393"	"2.557803 +- 0.029994"	"2.660055 +- 0.030699"	"2.947314 +- 0.027897"	"3.238216 +- 0.038968"	"3.501906 +- 0.049192"	"3.653146 +- 0.074760"	"3.766061 +- 0.079774"	"3.872669 +- 0.061508"	"3.900658 +- 0.097417"	""	""	""	""	""	""	""	""	""	""	""	""	""
"0.7"	""	""	""	"3.520123 +- 0.049878"	"2.739709 +- 0.022151"	"2.263050 +- 0.014221"	"1.251089 +- 0.015227"	"0.620048 +- 0.015913"	"1.042256 +- 0.018016"	"1.700014 +- 0.015732"	"2.123214 +- 0.019304"	"2.337185 +- 0.024260"	"2.408769 +- 0.027897"	"2.250593 +- 0.022423"	"2.556340 +- 0.023936"	"2.964208 +- 0.017454"	"3.062028 +- 0.035844"	"3.472011 +- 0.048636"	"3.774580 +- 0.096172"	"3.896727 +- 0.105391"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"0.8"	""	""	""	"3.902245 +- 0.088299"	"3.897564 +- 0.061890"	"3.817343 +- 0.067282"	"3.527410 +- 0.059466"	"3.187383 +- 0.046207"	"2.987987 +- 0.045604"	"3.246354 +- 0.026297"	"3.605502 +- 0.065284"	"3.787639 +- 0.078898"	"3.742563 +- 0.109197"	"3.363131 +- 0.023859"	"2.200945 +- 0.019589"	"1.436933 +- 0.017365"	"2.744376 +- 0.035409"	"3.805252 +- 0.117152"	"3.902630 +- 0.100898"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"0.9"	""	""	""	""	""	""	""	""	""	""	""	""	"3.902662 +- 0.065645"	"3.891842 +- 0.089355"	"3.699843 +- 0.099889"	"3.778224 +- 0.075848"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
