""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"	"22"	"23"	"24"	"25"	"26"	"27"	"28"	"29"	"30"	"31"	"32"
"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"4.883301 +- 0.229270"	""	"4.883174 +- 0.235252"	"4.881949 +- 0.221846"	"4.881791 +- 0.222756"	"4.879918 +- 0.225120"	"4.876702 +- 0.241074"	"4.861773 +- 0.212274"	"4.844887 +- 0.212925"	"4.807455 +- 0.200786"	"4.764606 +- 0.193411"	"4.633599 +- 0.161139"	"4.249170 +- 0.122376"	"4.041876 +- 0.096954"	"4.194520 +- 0.089994"	"4.633724 +- 0.154055"	"4.858366 +- 0.210072"
"0.1"	""	"4.863823 +- 0.209214"	"1.894159 +- 0.045740"	"1.646389 +- 0.044113"	"-0.000000 +- 0.039724"	"0.290772 +- 0.040118"	"3.138785 +- 0.071261"	"4.714892 +- 0.176748"	"4.778307 +- 0.187002"	"4.768475 +- 0.185008"	"4.711777 +- 0.200881"	"4.660630 +- 0.176986"	"4.601361 +- 0.158283"	"4.544536 +- 0.153275"	"4.467609 +- 0.135318"	"4.400089 +- 0.128875"	"4.344670 +- 0.120344"	"4.293454 +- 0.111324"	"4.239267 +- 0.104952"	"4.187035 +- 0.102825"	"4.138917 +- 0.093516"	"4.084741 +- 0.089409"	"4.010605 +- 0.086182"	"3.919191 +- 0.080232"	"3.830249 +- 0.078646"	"3.780746 +- 0.078895"	"3.752778 +- 0.078712"	"3.742857 +- 0.083180"	"3.785964 +- 0.085228"	"4.204730 +- 0.093332"	"4.829909 +- 0.210045"	""
"0.2"	""	"4.357780 +- 0.185246"	"2.601019 +- 0.059890"	"2.094071 +- 0.049978"	"1.063633 +- 0.041199"	"1.291669 +- 0.041753"	"3.292587 +- 0.059091"	"3.257625 +- 0.046284"	"3.381669 +- 0.049227"	"3.951081 +- 0.070717"	"4.254063 +- 0.083857"	"4.400242 +- 0.109265"	"4.467015 +- 0.122086"	"4.546150 +- 0.136435"	"4.599721 +- 0.151885"	"4.601439 +- 0.148323"	"4.572846 +- 0.136742"	"4.543962 +- 0.133185"	"4.556763 +- 0.135054"	"4.529889 +- 0.131807"	"4.504706 +- 0.127907"	"4.492380 +- 0.128320"	"4.486892 +- 0.129424"	"4.497155 +- 0.129506"	"4.504259 +- 0.125238"	"4.572792 +- 0.149769"	"4.653299 +- 0.163270"	"4.753958 +- 0.184881"	"4.859771 +- 0.231721"	""	""	""
"0.3"	""	""	"4.525343 +- 0.181370"	"4.587970 +- 0.178239"	"3.850343 +- 0.108784"	"3.597120 +- 0.064253"	"3.155288 +- 0.046774"	"3.094652 +- 0.047223"	"3.128869 +- 0.046651"	"2.828292 +- 0.047702"	"2.534622 +- 0.047357"	"2.894445 +- 0.048734"	"3.249653 +- 0.051458"	"3.642117 +- 0.061695"	"4.456144 +- 0.117200"	"4.841742 +- 0.216889"	"4.856105 +- 0.206388"	"4.847705 +- 0.218454"	"4.850101 +- 0.206975"	"4.842001 +- 0.212873"	"4.842562 +- 0.208085"	"4.833874 +- 0.211245"	"4.820852 +- 0.199315"	"4.841207 +- 0.208155"	"4.859414 +- 0.218181"	"4.869876 +- 0.222256"	"4.881104 +- 0.242508"	""	""	""	""	""
"0.4"	""	"4.880704 +- 0.220322"	"3.216931 +- 0.054102"	"3.280068 +- 0.050946"	"2.536340 +- 0.048061"	"2.185435 +- 0.048014"	"2.177325 +- 0.047491"	"2.584374 +- 0.047480"	"3.039507 +- 0.048610"	"2.935233 +- 0.047995"	"2.904121 +- 0.048549"	"3.318419 +- 0.050101"	"3.674515 +- 0.059108"	"4.156697 +- 0.079332"	"4.549902 +- 0.134485"	"4.801993 +- 0.197879"	"4.843878 +- 0.224991"	"4.865239 +- 0.232349"	"4.866606 +- 0.223078"	"4.868934 +- 0.233932"	"4.874707 +- 0.231885"	"4.872333 +- 0.235556"	"4.879522 +- 0.227557"	"4.882400 +- 0.216650"	""	""	""	""	""	""	""	""
"0.5"	""	"4.869334 +- 0.214586"	"2.457731 +- 0.050247"	"2.377483 +- 0.049514"	"2.572166 +- 0.049122"	"2.562612 +- 0.048685"	"2.576696 +- 0.048396"	"2.960378 +- 0.048959"	"3.441992 +- 0.052906"	"3.708766 +- 0.057698"	"3.926967 +- 0.069379"	"3.996065 +- 0.079008"	"4.132152 +- 0.085383"	"4.227802 +- 0.092069"	"4.420869 +- 0.124880"	"4.545140 +- 0.136497"	"4.585854 +- 0.151550"	"4.652697 +- 0.170785"	"4.683899 +- 0.183327"	"4.782772 +- 0.199086"	"4.854656 +- 0.215624"	"4.880244 +- 0.220050"	""	""	""	""	""	""	""	""	""	""
"0.6"	""	"4.882630 +- 0.236076"	"3.138657 +- 0.050738"	"2.989103 +- 0.050558"	"3.197289 +- 0.051214"	"3.199089 +- 0.051107"	"2.778921 +- 0.050781"	"2.892915 +- 0.050834"	"3.002275 +- 0.051608"	"2.842309 +- 0.052232"	"2.797957 +- 0.052889"	"3.068402 +- 0.055956"	"3.256828 +- 0.058717"	"3.435984 +- 0.062757"	"3.796021 +- 0.074178"	"3.944126 +- 0.096555"	"4.325974 +- 0.117046"	"4.557902 +- 0.160263"	"4.686982 +- 0.201370"	"4.830859 +- 0.208806"	"4.879518 +- 0.227066"	""	""	""	""	""	""	""	""	""	""	""
"0.7"	""	""	"4.874737 +- 0.222911"	"4.875744 +- 0.232025"	"4.867877 +- 0.227656"	"4.806844 +- 0.209937"	"3.937959 +- 0.070503"	"3.893151 +- 0.067874"	"4.049331 +- 0.078423"	"3.820677 +- 0.067590"	"3.782287 +- 0.064700"	"3.819256 +- 0.076361"	"3.644815 +- 0.085460"	"3.309196 +- 0.107253"	"2.367508 +- 0.109590"	"2.412678 +- 0.111687"	"3.501576 +- 0.119857"	"4.672562 +- 0.170843"	"4.870065 +- 0.227567"	"4.882764 +- 0.230728"	""	""	""	""	""	""	""	""	""	""	""	""
"0.8"	""	""	""	""	""	""	""	""	"4.863977 +- 0.228385"	"4.873617 +- 0.225490"	"4.861558 +- 0.232364"	"4.105346 +- 0.143125"	"2.735276 +- 0.113366"	"1.214654 +- 0.110941"	"0.333060 +- 0.110201"	"1.688213 +- 0.110292"	"4.235493 +- 0.140692"	"4.881876 +- 0.226938"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"0.9"	""	""	""	""	""	""	""	""	""	""	""	"4.883073 +- 0.231703"	"4.759411 +- 0.208409"	"3.402994 +- 0.120289"	"3.777573 +- 0.126536"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
