""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"	"22"	"23"	"24"	"25"	"26"	"27"	"28"	"29"	"30"	"31"	"32"	"33"
"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"5.357316 ± 0.316454"	"5.356061 ± 0.426001"	"5.355453 ± 0.237604"	"5.350783 ± 0.186522"	"5.344969 ± 0.279904"	"5.329188 ± 0.213796"	"5.318039 ± 0.291814"	"5.280403 ± 0.348851"	"5.201871 ± 0.344627"	"5.044391 ± 0.143859"	"4.861100 ± 0.369384"	"4.887180 ± 0.152289"	"5.127898 ± 0.482172"	"5.315002 ± 0.161683"	"5.357261 ± 0.568189"
"0.1"	""	""	"5.256000 ± 0.339969"	"5.204008 ± 0.261681"	"4.959728 ± 0.169597"	"4.919783 ± 0.146010"	"4.806645 ± 0.149153"	"4.660635 ± 0.092269"	"4.509762 ± 0.131014"	"4.327221 ± 0.053723"	"4.205465 ± 0.064432"	"4.334593 ± 0.039848"	"4.404753 ± 0.093844"	"4.331531 ± 0.057616"	"4.512627 ± 0.110936"	"4.767213 ± 0.166939"	"4.730942 ± 0.135072"	"4.692477 ± 0.175614"	"4.641210 ± 0.106123"	"4.597414 ± 0.091821"	"4.571092 ± 0.149764"	"4.565742 ± 0.114295"	"4.550812 ± 0.104985"	"4.497074 ± 0.214337"	"4.485474 ± 0.105496"	"4.445942 ± 0.120273"	"4.391791 ± 0.129510"	"4.446216 ± 0.105500"	"4.522538 ± 0.133889"	"4.854796 ± 0.158207"	"5.296792 ± 0.505554"	""	""
"0.2"	""	"5.293855 ± 0.274265"	"3.344681 ± 0.056530"	"3.275089 ± 0.071473"	"3.489039 ± 0.068225"	"3.026682 ± 0.058609"	"2.908694 ± 0.055806"	"3.146238 ± 0.065651"	"3.430288 ± 0.063529"	"3.530475 ± 0.045724"	"3.613350 ± 0.061789"	"3.900819 ± 0.064332"	"4.214570 ± 0.076914"	"4.366026 ± 0.102240"	"4.621998 ± 0.132902"	"4.896334 ± 0.143242"	"4.914569 ± 0.272114"	"4.913888 ± 0.298309"	"4.918405 ± 0.275959"	"4.928434 ± 0.243338"	"4.951735 ± 0.255060"	"4.960023 ± 0.182902"	"4.970950 ± 0.320851"	"4.977530 ± 0.153417"	"5.018077 ± 0.256722"	"5.093773 ± 0.209656"	"5.185732 ± 0.247164"	"5.284351 ± 0.525809"	"5.343081 ± 0.399788"	"5.357252 ± 0.479194"	""	""	""
"0.3"	""	"5.294539 ± 0.320583"	"3.069479 ± 0.051763"	"2.748029 ± 0.056601"	"3.110095 ± 0.060142"	"3.407639 ± 0.064533"	"3.637238 ± 0.056351"	"4.028498 ± 0.075966"	"4.171438 ± 0.057775"	"4.482413 ± 0.130122"	"4.811496 ± 0.124745"	"4.962403 ± 0.124762"	"5.141659 ± 0.183068"	"5.209472 ± 0.190579"	"5.265516 ± 0.369714"	"5.301561 ± 0.393970"	"5.302026 ± 0.452975"	"5.288922 ± 0.400185"	"5.289978 ± 0.459143"	"5.299186 ± 0.288495"	"5.302702 ± 0.177939"	"5.293327 ± 0.469198"	"5.297964 ± 0.284216"	"5.302744 ± 0.363804"	"5.320151 ± 0.165006"	"5.346988 ± 0.447605"	"5.354763 ± 0.536464"	""	""	""	""	""	""
"0.4"	""	"5.350266 ± 0.328489"	"3.307956 ± 0.051842"	"3.136710 ± 0.052737"	"3.124781 ± 0.045777"	"3.624971 ± 0.062776"	"3.769499 ± 0.066136"	"3.982709 ± 0.089442"	"4.280084 ± 0.083165"	"4.432025 ± 0.122852"	"4.858257 ± 0.201095"	"5.165656 ± 0.167938"	"5.223145 ± 0.151158"	"5.242741 ± 0.213212"	"5.279903 ± 0.288540"	"5.297426 ± 0.186686"	"5.312529 ± 0.473040"	"5.325791 ± 0.306784"	"5.340037 ± 0.521343"	"5.335401 ± 0.171227"	"5.335664 ± 0.478140"	"5.341249 ± 0.300889"	"5.345371 ± 0.340372"	"5.355292 ± 0.348532"	"5.357214 ± 0.281257"	""	""	""	""	""	""	""	""
"0.5"	""	""	"4.061358 ± 0.082955"	"3.262886 ± 0.045385"	"3.296023 ± 0.049194"	"3.641658 ± 0.039583"	"3.577422 ± 0.057527"	"3.695249 ± 0.075017"	"3.911491 ± 0.091167"	"4.065570 ± 0.077032"	"4.512721 ± 0.185036"	"4.742752 ± 0.189876"	"4.693020 ± 0.155722"	"4.734544 ± 0.087127"	"4.925365 ± 0.228284"	"5.083583 ± 0.207957"	"5.234564 ± 0.405463"	"5.271123 ± 0.298960"	"5.258294 ± 0.242981"	"5.245103 ± 0.194223"	"5.287583 ± 0.263271"	"5.347554 ± 0.490077"	"5.356571 ± 0.429301"	""	""	""	""	""	""	""	""	""	""
"0.6"	""	""	"4.908607 ± 0.206472"	"4.346632 ± 0.088694"	"4.869362 ± 0.168360"	"4.583217 ± 0.220507"	"4.433783 ± 0.117992"	"4.443562 ± 0.162770"	"4.645724 ± 0.097053"	"4.531827 ± 0.131649"	"4.365557 ± 0.180039"	"4.160698 ± 0.069604"	"4.049568 ± 0.090014"	"4.483932 ± 0.150300"	"4.967444 ± 0.205920"	"5.141952 ± 0.179611"	"5.184309 ± 0.275104"	"5.112808 ± 0.293197"	"5.132499 ± 0.161827"	"5.254600 ± 0.324833"	"5.349513 ± 0.164378"	""	""	""	""	""	""	""	""	""	""	""	""
"0.7"	""	""	"5.352778 ± 0.634111"	"4.878240 ± 0.113876"	"4.567314 ± 0.145767"	"3.587221 ± 0.080486"	"3.518179 ± 0.078512"	"3.806160 ± 0.082614"	"4.150532 ± 0.133208"	"4.599525 ± 0.132550"	"5.090443 ± 0.259457"	"4.618684 ± 0.141222"	"4.302472 ± 0.147386"	"3.743592 ± 0.070280"	"2.352884 ± 0.023633"	"2.508670 ± 0.035187"	"4.111638 ± 0.118472"	"5.161887 ± 0.299279"	"5.318978 ± 0.280488"	"5.357229 ± 0.105142"	""	""	""	""	""	""	""	""	""	""	""	""	""
"0.8"	""	""	""	""	"5.349660 ± 0.224964"	"4.998266 ± 0.129142"	"3.718556 ± 0.103931"	"3.285366 ± 0.097394"	"3.660344 ± 0.094114"	"4.413581 ± 0.121341"	"5.078998 ± 0.187470"	"3.614584 ± 0.133692"	"2.325351 ± 0.048048"	"0.791349 ± 0.009521"	"-0.000000 ± 0.000956"	"1.519297 ± 0.010369"	"4.288804 ± 0.140922"	"5.356830 ± 0.529854"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"0.9"	""	""	""	""	""	""	""	""	""	""	""	"5.266295 ± 0.179635"	"4.525588 ± 0.188251"	"3.071346 ± 0.049846"	"3.271610 ± 0.060309"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
