""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"
"0"	"0.061722 ± 0.002962"	"0.044422 ± 0.003035"	"0.093982 ± 0.002759"	"0.084670 ± 0.003314"	"0.070823 ± 0.003312"	"0.115761 ± 0.003406"	"0.076499 ± 0.003048"	"0.060601 ± 0.003189"	"0.072735 ± 0.002959"	"0.152302 ± 0.003188"	"0.069700 ± 0.003981"	"0.058277 ± 0.003445"	"0.108692 ± 0.002889"	"0.100181 ± 0.002635"	"0.080967 ± 0.002909"	"0.064963 ± 0.003050"
"0.1"	"0.048184 ± 0.003690"	"0.076220 ± 0.002980"	"0.102991 ± 0.004053"	"-0.000000 ± 0.003312"	"0.081035 ± 0.002973"	"0.106445 ± 0.003644"	"0.054200 ± 0.003771"	"0.076434 ± 0.003096"	"0.065001 ± 0.003257"	"0.096255 ± 0.003075"	"0.036487 ± 0.003260"	"0.109798 ± 0.002910"	"0.073652 ± 0.003239"	"0.075394 ± 0.003795"	"0.075112 ± 0.002906"	""
"0.2"	"0.113499 ± 0.002678"	"0.087018 ± 0.003193"	"0.069582 ± 0.002906"	"0.096559 ± 0.003879"	"0.074583 ± 0.002795"	"0.085710 ± 0.003201"	"0.084846 ± 0.003348"	"0.081257 ± 0.002844"	"0.055267 ± 0.002786"	"0.098238 ± 0.003771"	"0.081124 ± 0.002910"	"0.080142 ± 0.002889"	"0.116998 ± 0.003241"	"0.038998 ± 0.003425"	"0.044626 ± 0.003334"	""
"0.3"	"0.078816 ± 0.003359"	"0.044900 ± 0.002815"	"0.084270 ± 0.002983"	"0.062462 ± 0.002961"	"0.076807 ± 0.002970"	"0.110324 ± 0.003038"	"0.043420 ± 0.003277"	"0.085074 ± 0.003566"	"0.134588 ± 0.003025"	"0.012805 ± 0.003344"	"0.070619 ± 0.004002"	"0.081037 ± 0.003070"	"0.087229 ± 0.003472"	"0.109874 ± 0.002783"	"0.079566 ± 0.002998"	""
"0.4"	"0.104480 ± 0.002971"	"0.037508 ± 0.003738"	"0.102988 ± 0.003234"	"0.048113 ± 0.002879"	"0.090873 ± 0.003265"	"0.075490 ± 0.002943"	"0.097870 ± 0.003211"	"0.079628 ± 0.003383"	"0.087580 ± 0.003366"	"0.060161 ± 0.003313"	"0.099790 ± 0.003137"	"0.097048 ± 0.003583"	"0.055405 ± 0.003162"	"0.139550 ± 0.003103"	"0.082257 ± 0.003111"	""
"0.5"	"0.030025 ± 0.002952"	"0.061266 ± 0.002780"	"0.045559 ± 0.002738"	"0.096752 ± 0.003027"	"0.100179 ± 0.002788"	"0.108151 ± 0.003263"	"0.079374 ± 0.003072"	"0.119286 ± 0.003865"	"0.052763 ± 0.002750"	"0.045304 ± 0.002955"	"0.103589 ± 0.003441"	"0.075804 ± 0.003472"	"0.160501 ± 0.002940"	"0.083731 ± 0.002970"	"0.104791 ± 0.003293"	""
"0.6"	"0.050137 ± 0.002652"	"0.113893 ± 0.003915"	"0.035276 ± 0.003195"	"0.082681 ± 0.003623"	"0.061258 ± 0.003169"	"0.063307 ± 0.002860"	"0.074578 ± 0.003274"	"0.098218 ± 0.003169"	"0.120050 ± 0.003609"	"0.073247 ± 0.003299"	"0.074916 ± 0.003093"	"0.115826 ± 0.003283"	"0.094772 ± 0.002791"	"0.112587 ± 0.003286"	"0.085845 ± 0.003210"	""
"0.7"	"0.084373 ± 0.002592"	"0.082554 ± 0.003191"	"0.078289 ± 0.003063"	"0.109774 ± 0.003608"	"0.068780 ± 0.003214"	"0.117171 ± 0.003244"	"0.074004 ± 0.002975"	"0.089746 ± 0.003412"	"0.107751 ± 0.003610"	"0.054679 ± 0.002818"	"0.024120 ± 0.003426"	"0.082309 ± 0.003137"	"0.096475 ± 0.003603"	"0.099429 ± 0.003008"	"0.049114 ± 0.003273"	""
"0.8"	"0.062182 ± 0.002611"	"0.040318 ± 0.002967"	"0.053936 ± 0.002744"	"0.115590 ± 0.003592"	"0.049391 ± 0.003019"	"0.113970 ± 0.003698"	"0.085948 ± 0.002789"	"0.041852 ± 0.002964"	"0.056809 ± 0.002993"	"0.091008 ± 0.003108"	"0.107050 ± 0.003039"	"0.061609 ± 0.002873"	"0.020626 ± 0.002960"	"0.053350 ± 0.003583"	"0.024678 ± 0.003089"	""
"0.9"	"0.051585 ± 0.003001"	"0.091657 ± 0.003582"	"0.098876 ± 0.003142"	"0.070688 ± 0.003352"	"0.102680 ± 0.003119"	"0.072562 ± 0.003100"	"0.073405 ± 0.002927"	"0.063556 ± 0.003863"	"0.085933 ± 0.003328"	"0.087979 ± 0.004381"	"0.084414 ± 0.002858"	"0.025464 ± 0.002811"	"0.169812 ± 0.003733"	"0.145406 ± 0.003338"	"0.056536 ± 0.002709"	""
