""	"0"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"	"22"	"23"	"24"	"25"	"26"	"27"	"28"	"29"	"30"	"31"	"32"	"33"
"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"5.357316"	"5.356061"	"5.355453"	"5.350783"	"5.344969"	"5.329188"	"5.318039"	"5.280403"	"5.201871"	"5.044391"	"4.861100"	"4.887180"	"5.127898"	"5.315002"	"5.357261"
"0.1"	""	""	""	"5.256000"	"5.204008"	"4.959728"	"4.919783"	"4.806645"	"4.660635"	"4.509762"	"4.327221"	"4.205465"	"4.334593"	"4.404753"	"4.331531"	"4.512627"	"4.767213"	"4.730942"	"4.692477"	"4.641210"	"4.597414"	"4.571092"	"4.565742"	"4.550812"	"4.497074"	"4.485474"	"4.445942"	"4.391791"	"4.446216"	"4.522538"	"4.854796"	"5.296792"	""	""
"0.2"	""	""	"5.293855"	"3.344681"	"3.275089"	"3.489039"	"3.026682"	"2.908694"	"3.146238"	"3.430288"	"3.530475"	"3.613350"	"3.900819"	"4.214570"	"4.366026"	"4.621998"	"4.896334"	"4.914569"	"4.913888"	"4.918405"	"4.928434"	"4.951735"	"4.960023"	"4.970950"	"4.977530"	"5.018077"	"5.093773"	"5.185732"	"5.284351"	"5.343081"	"5.357252"	""	""	""
"0.3"	""	""	"5.294539"	"3.069479"	"2.748029"	"3.110095"	"3.407639"	"3.637238"	"4.028498"	"4.171438"	"4.482413"	"4.811496"	"4.962403"	"5.141659"	"5.209472"	"5.265516"	"5.301561"	"5.302026"	"5.288922"	"5.289978"	"5.299186"	"5.302702"	"5.293327"	"5.297964"	"5.302744"	"5.320151"	"5.346988"	"5.354763"	""	""	""	""	""	""
"0.4"	""	""	"5.350266"	"3.307956"	"3.136710"	"3.124781"	"3.624971"	"3.769499"	"3.982709"	"4.280084"	"4.432025"	"4.858257"	"5.165656"	"5.223145"	"5.242741"	"5.279903"	"5.297426"	"5.312529"	"5.325791"	"5.340037"	"5.335401"	"5.335664"	"5.341249"	"5.345371"	"5.355292"	"5.357214"	""	""	""	""	""	""	""	""
"0.5"	""	""	""	"4.061358"	"3.262886"	"3.296023"	"3.641658"	"3.577422"	"3.695249"	"3.911491"	"4.065570"	"4.512721"	"4.742752"	"4.693020"	"4.734544"	"4.925365"	"5.083583"	"5.234564"	"5.271123"	"5.258294"	"5.245103"	"5.287583"	"5.347554"	"5.356571"	""	""	""	""	""	""	""	""	""	""
"0.6"	""	""	""	"4.908607"	"4.346632"	"4.869362"	"4.583217"	"4.433783"	"4.443562"	"4.645724"	"4.531827"	"4.365557"	"4.160698"	"4.049568"	"4.483932"	"4.967444"	"5.141952"	"5.184309"	"5.112808"	"5.132499"	"5.254600"	"5.349513"	""	""	""	""	""	""	""	""	""	""	""	""
"0.7"	""	""	""	"5.352778"	"4.878240"	"4.567314"	"3.587221"	"3.518179"	"3.806160"	"4.150532"	"4.599525"	"5.090443"	"4.618684"	"4.302472"	"3.743592"	"2.352884"	"2.508670"	"4.111638"	"5.161887"	"5.318978"	"5.357229"	""	""	""	""	""	""	""	""	""	""	""	""	""
"0.8"	""	""	""	""	""	"5.349660"	"4.998266"	"3.718556"	"3.285366"	"3.660344"	"4.413581"	"5.078998"	"3.614584"	"2.325351"	"0.791349"	"-0.000000"	"1.519297"	"4.288804"	"5.356830"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"0.9"	""	""	""	""	""	""	""	""	""	""	""	""	"5.266295"	"4.525588"	"3.071346"	"3.271610"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
