""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"
"0"	"0.061722"	"0.044422"	"0.093982"	"0.084670"	"0.070823"	"0.115761"	"0.076499"	"0.060601"	"0.072735"	"0.152302"	"0.069700"	"0.058277"	"0.108692"	"0.100181"	"0.080967"	"0.064963"
"0.1"	"0.048184"	"0.076220"	"0.102991"	"-0.000000"	"0.081035"	"0.106445"	"0.054200"	"0.076434"	"0.065001"	"0.096255"	"0.036487"	"0.109798"	"0.073652"	"0.075394"	"0.075112"	""
"0.2"	"0.113499"	"0.087018"	"0.069582"	"0.096559"	"0.074583"	"0.085710"	"0.084846"	"0.081257"	"0.055267"	"0.098238"	"0.081124"	"0.080142"	"0.116998"	"0.038998"	"0.044626"	""
"0.3"	"0.078816"	"0.044900"	"0.084270"	"0.062462"	"0.076807"	"0.110324"	"0.043420"	"0.085074"	"0.134588"	"0.012805"	"0.070619"	"0.081037"	"0.087229"	"0.109874"	"0.079566"	""
"0.4"	"0.104480"	"0.037508"	"0.102988"	"0.048113"	"0.090873"	"0.075490"	"0.097870"	"0.079628"	"0.087580"	"0.060161"	"0.099790"	"0.097048"	"0.055405"	"0.139550"	"0.082257"	""
"0.5"	"0.030025"	"0.061266"	"0.045559"	"0.096752"	"0.100179"	"0.108151"	"0.079374"	"0.119286"	"0.052763"	"0.045304"	"0.103589"	"0.075804"	"0.160501"	"0.083731"	"0.104791"	""
"0.6"	"0.050137"	"0.113893"	"0.035276"	"0.082681"	"0.061258"	"0.063307"	"0.074578"	"0.098218"	"0.120050"	"0.073247"	"0.074916"	"0.115826"	"0.094772"	"0.112587"	"0.085845"	""
"0.7"	"0.084373"	"0.082554"	"0.078289"	"0.109774"	"0.068780"	"0.117171"	"0.074004"	"0.089746"	"0.107751"	"0.054679"	"0.024120"	"0.082309"	"0.096475"	"0.099429"	"0.049114"	""
"0.8"	"0.062182"	"0.040318"	"0.053936"	"0.115590"	"0.049391"	"0.113970"	"0.085948"	"0.041852"	"0.056809"	"0.091008"	"0.107050"	"0.061609"	"0.020626"	"0.053350"	"0.024678"	""
"0.9"	"0.051585"	"0.091657"	"0.098876"	"0.070688"	"0.102680"	"0.072562"	"0.073405"	"0.063556"	"0.085933"	"0.087979"	"0.084414"	"0.025464"	"0.169812"	"0.145406"	"0.056536"	""
