""	"0"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"	"22"	"23"	"24"	"25"	"26"	"27"	"28"	"29"	"30"	"31"	"32"
"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"4.883301 +- 0.192257"	""	"4.883174 +- 0.220264"	"4.881949 +- 0.174775"	"4.881791 +- 0.198847"	"4.879918 +- 0.186213"	"4.876702 +- 0.323810"	"4.861773 +- 0.210480"	"4.844887 +- 0.196589"	"4.807455 +- 0.153563"	"4.764606 +- 0.219423"	"4.633599 +- 0.110336"	"4.249170 +- 0.092166"	"4.041876 +- 0.138861"	"4.194520 +- 0.099064"	"4.633724 +- 0.251866"	"4.858366 +- 0.320367"
"0.1"	""	""	"4.863823 +- 0.243566"	"1.894159 +- 0.056639"	"1.646389 +- 0.046220"	"-0.000000 +- 0.048592"	"0.290772 +- 0.052104"	"3.138785 +- 0.088472"	"4.714892 +- 0.177565"	"4.778307 +- 0.299200"	"4.768475 +- 0.332902"	"4.711777 +- 0.155064"	"4.660630 +- 0.240990"	"4.601361 +- 0.182134"	"4.544536 +- 0.111887"	"4.467609 +- 0.073645"	"4.400089 +- 0.132826"	"4.344670 +- 0.074100"	"4.293454 +- 0.127040"	"4.239267 +- 0.078043"	"4.187035 +- 0.119992"	"4.138917 +- 0.086140"	"4.084741 +- 0.103540"	"4.010605 +- 0.074676"	"3.919191 +- 0.093213"	"3.830249 +- 0.084662"	"3.780746 +- 0.074449"	"3.752778 +- 0.071717"	"3.742857 +- 0.073267"	"3.785964 +- 0.126035"	"4.204730 +- 0.067844"	"4.829909 +- 0.242314"	""
"0.2"	""	""	"4.357780 +- 0.134313"	"2.601019 +- 0.094215"	"2.094071 +- 0.058836"	"1.063633 +- 0.049106"	"1.291669 +- 0.050177"	"3.292587 +- 0.047197"	"3.257625 +- 0.047689"	"3.381669 +- 0.055805"	"3.951081 +- 0.052582"	"4.254063 +- 0.081638"	"4.400242 +- 0.059626"	"4.467015 +- 0.080403"	"4.546150 +- 0.136062"	"4.599721 +- 0.177240"	"4.601439 +- 0.166866"	"4.572846 +- 0.136590"	"4.543962 +- 0.151910"	"4.556763 +- 0.125100"	"4.529889 +- 0.234708"	"4.504706 +- 0.146271"	"4.492380 +- 0.132568"	"4.486892 +- 0.148669"	"4.497155 +- 0.118924"	"4.504259 +- 0.164310"	"4.572792 +- 0.157623"	"4.653299 +- 0.143944"	"4.753958 +- 0.268435"	"4.859771 +- 0.196917"	""	""	""
"0.3"	""	""	""	"4.525343 +- 0.157967"	"4.587970 +- 0.146676"	"3.850343 +- 0.105142"	"3.597120 +- 0.055216"	"3.155288 +- 0.047598"	"3.094652 +- 0.044149"	"3.128869 +- 0.047222"	"2.828292 +- 0.052312"	"2.534622 +- 0.046896"	"2.894445 +- 0.050142"	"3.249653 +- 0.054047"	"3.642117 +- 0.056390"	"4.456144 +- 0.085733"	"4.841742 +- 0.184299"	"4.856105 +- 0.225744"	"4.847705 +- 0.244904"	"4.850101 +- 0.152604"	"4.842001 +- 0.223458"	"4.842562 +- 0.228789"	"4.833874 +- 0.325070"	"4.820852 +- 0.199242"	"4.841207 +- 0.166026"	"4.859414 +- 0.104539"	"4.869876 +- 0.214487"	"4.881104 +- 0.342189"	""	""	""	""	""
"0.4"	""	""	"4.880704 +- 0.249722"	"3.216931 +- 0.046978"	"3.280068 +- 0.056051"	"2.536340 +- 0.046237"	"2.185435 +- 0.046203"	"2.177325 +- 0.046028"	"2.584374 +- 0.045272"	"3.039507 +- 0.041666"	"2.935233 +- 0.049241"	"2.904121 +- 0.048281"	"3.318419 +- 0.050624"	"3.674515 +- 0.056076"	"4.156697 +- 0.119979"	"4.549902 +- 0.155698"	"4.801993 +- 0.192344"	"4.843878 +- 0.138351"	"4.865239 +- 0.177615"	"4.866606 +- 0.305030"	"4.868934 +- 0.290564"	"4.874707 +- 0.124421"	"4.872333 +- 0.189290"	"4.879522 +- 0.299980"	"4.882400 +- 0.263554"	""	""	""	""	""	""	""	""
"0.5"	""	""	"4.869334 +- 0.258556"	"2.457731 +- 0.049093"	"2.377483 +- 0.046401"	"2.572166 +- 0.049398"	"2.562612 +- 0.046449"	"2.576696 +- 0.046272"	"2.960378 +- 0.052037"	"3.441992 +- 0.051132"	"3.708766 +- 0.048156"	"3.926967 +- 0.070905"	"3.996065 +- 0.078418"	"4.132152 +- 0.124867"	"4.227802 +- 0.074589"	"4.420869 +- 0.088312"	"4.545140 +- 0.102615"	"4.585854 +- 0.174425"	"4.652697 +- 0.219110"	"4.683899 +- 0.201100"	"4.782772 +- 0.217280"	"4.854656 +- 0.079846"	"4.880244 +- 0.211187"	""	""	""	""	""	""	""	""	""	""
"0.6"	""	""	"4.882630 +- 0.291838"	"3.138657 +- 0.051357"	"2.989103 +- 0.050179"	"3.197289 +- 0.045328"	"3.199089 +- 0.053585"	"2.778921 +- 0.052269"	"2.892915 +- 0.049937"	"3.002275 +- 0.047286"	"2.842309 +- 0.056565"	"2.797957 +- 0.054169"	"3.068402 +- 0.061533"	"3.256828 +- 0.068288"	"3.435984 +- 0.069142"	"3.796021 +- 0.061991"	"3.944126 +- 0.107742"	"4.325974 +- 0.113371"	"4.557902 +- 0.157271"	"4.686982 +- 0.161275"	"4.830859 +- 0.223726"	"4.879518 +- 0.212588"	""	""	""	""	""	""	""	""	""	""	""
"0.7"	""	""	""	"4.874737 +- 0.192808"	"4.875744 +- 0.146275"	"4.867877 +- 0.158455"	"4.806844 +- 0.105873"	"3.937959 +- 0.076110"	"3.893151 +- 0.052776"	"4.049331 +- 0.075249"	"3.820677 +- 0.062685"	"3.782287 +- 0.077029"	"3.819256 +- 0.101735"	"3.644815 +- 0.111067"	"3.309196 +- 0.114970"	"2.367508 +- 0.137898"	"2.412678 +- 0.129127"	"3.501576 +- 0.143200"	"4.672562 +- 0.200161"	"4.870065 +- 0.268874"	"4.882764 +- 0.140234"	""	""	""	""	""	""	""	""	""	""	""	""
"0.8"	""	""	""	""	""	""	""	""	""	"4.863977 +- 0.230644"	"4.873617 +- 0.339267"	"4.861558 +- 0.205491"	"4.105346 +- 0.216449"	"2.735276 +- 0.134659"	"1.214654 +- 0.132818"	"0.333060 +- 0.133138"	"1.688213 +- 0.125158"	"4.235493 +- 0.125509"	"4.881876 +- 0.346396"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"0.9"	""	""	""	""	""	""	""	""	""	""	""	""	"4.883073 +- 0.113720"	"4.759411 +- 0.202384"	"3.402994 +- 0.145932"	"3.777573 +- 0.120340"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
