""	"0"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"	"22"	"23"	"24"	"25"	"26"	"27"	"28"	"29"	"30"	"31"	"32"	"33"
"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"3.902333 +- 0.102771"	"3.901880 +- 0.093796"	"3.898921 +- 0.083065"	"3.897056 +- 0.070038"	"3.884102 +- 0.074882"	"3.866135 +- 0.079790"	"3.833598 +- 0.059200"	"3.777921 +- 0.063122"	"3.654876 +- 0.054216"	"3.442905 +- 0.032731"	"2.990365 +- 0.037697"	"2.761919 +- 0.017421"	"2.943090 +- 0.020591"	"3.452431 +- 0.028123"	"3.830058 +- 0.117689"	"3.901238 +- 0.108325"
"0.1"	""	""	""	"2.762159 +- 0.049660"	"2.196028 +- 0.035074"	"1.565743 +- 0.020932"	"1.604553 +- 0.015498"	"2.195429 +- 0.035537"	"2.159781 +- 0.015579"	"2.101105 +- 0.023244"	"2.130686 +- 0.017958"	"1.974147 +- 0.015125"	"2.092468 +- 0.020182"	"2.184357 +- 0.017318"	"2.107900 +- 0.020551"	"2.239286 +- 0.018888"	"2.461207 +- 0.027836"	"2.542164 +- 0.013825"	"2.558472 +- 0.024529"	"2.616323 +- 0.023267"	"2.620473 +- 0.021646"	"2.642851 +- 0.021317"	"2.645259 +- 0.017399"	"2.613854 +- 0.021654"	"2.575155 +- 0.022181"	"2.507435 +- 0.016781"	"2.484530 +- 0.016802"	"2.464488 +- 0.019156"	"2.468548 +- 0.024742"	"2.491459 +- 0.024636"	"2.979130 +- 0.021533"	"3.755853 +- 0.059972"	""	""
"0.2"	""	""	"3.847675 +- 0.112368"	"1.729339 +- 0.025032"	"0.036956 +- 0.010519"	"-0.000000 +- 0.012207"	"0.325116 +- 0.010464"	"0.365066 +- 0.012114"	"0.495309 +- 0.011636"	"0.894923 +- 0.010999"	"1.114311 +- 0.014827"	"1.229615 +- 0.012881"	"1.567931 +- 0.013228"	"1.887915 +- 0.017015"	"2.030911 +- 0.017421"	"2.142237 +- 0.017013"	"2.163738 +- 0.014398"	"2.478603 +- 0.021713"	"2.826710 +- 0.024212"	"2.961287 +- 0.023531"	"3.067416 +- 0.024013"	"3.176883 +- 0.030271"	"3.179137 +- 0.024088"	"3.168815 +- 0.035888"	"3.224745 +- 0.029888"	"3.320465 +- 0.049207"	"3.429641 +- 0.044115"	"3.614526 +- 0.062760"	"3.756917 +- 0.065592"	"3.863877 +- 0.079797"	""	""	""	""
"0.3"	""	""	""	"1.760397 +- 0.017681"	"0.200143 +- 0.010201"	"0.381328 +- 0.010252"	"0.471029 +- 0.011957"	"0.554606 +- 0.011036"	"0.650109 +- 0.009826"	"0.931263 +- 0.010186"	"1.166341 +- 0.014693"	"1.460080 +- 0.012183"	"1.722697 +- 0.012963"	"1.799431 +- 0.010764"	"1.743947 +- 0.014445"	"1.611211 +- 0.012739"	"1.513595 +- 0.011340"	"1.904938 +- 0.011655"	"2.570915 +- 0.023177"	"3.419185 +- 0.054523"	"3.772879 +- 0.086573"	"3.762595 +- 0.082834"	"3.774299 +- 0.070048"	"3.777716 +- 0.089192"	"3.808259 +- 0.095139"	"3.870144 +- 0.087760"	"3.890245 +- 0.131340"	"3.901230 +- 0.072978"	""	""	""	""	""	""
"0.4"	""	""	"3.796880 +- 0.068962"	"1.035591 +- 0.013928"	"0.280504 +- 0.010533"	"0.408235 +- 0.013074"	"0.618155 +- 0.012926"	"0.442695 +- 0.011816"	"0.485253 +- 0.013470"	"0.789814 +- 0.013041"	"1.210683 +- 0.015010"	"1.560343 +- 0.011366"	"1.883527 +- 0.014325"	"2.138694 +- 0.021892"	"2.435444 +- 0.017168"	"2.836725 +- 0.024315"	"3.282167 +- 0.040326"	"3.672785 +- 0.080902"	"3.840874 +- 0.134701"	"3.892899 +- 0.064700"	"3.888730 +- 0.089108"	"3.900049 +- 0.102724"	"3.899334 +- 0.117185"	"3.893816 +- 0.052203"	"3.899643 +- 0.099570"	"3.900311 +- 0.127322"	""	""	""	""	""	""	""	""
"0.5"	""	""	"3.613414 +- 0.040926"	"0.513958 +- 0.013657"	"0.361213 +- 0.011573"	"0.713052 +- 0.012869"	"0.763830 +- 0.010800"	"0.376930 +- 0.014076"	"0.427644 +- 0.013221"	"0.755803 +- 0.013673"	"1.102549 +- 0.011822"	"1.814648 +- 0.017416"	"2.479765 +- 0.023925"	"2.904050 +- 0.021404"	"3.406868 +- 0.031452"	"3.668575 +- 0.076528"	"3.826190 +- 0.098624"	"3.854961 +- 0.088601"	"3.886564 +- 0.087479"	"3.898824 +- 0.109790"	"3.902116 +- 0.094867"	"3.902727 +- 0.087118"	""	""	""	""	""	""	""	""	""	""	""	""
"0.6"	""	""	""	"2.507971 +- 0.029558"	"1.570979 +- 0.021267"	"1.548652 +- 0.011692"	"1.154504 +- 0.011426"	"1.067971 +- 0.013461"	"1.217526 +- 0.014389"	"1.570594 +- 0.014324"	"1.947413 +- 0.016440"	"2.380535 +- 0.018952"	"2.557803 +- 0.017209"	"2.660055 +- 0.024004"	"2.947314 +- 0.024376"	"3.238216 +- 0.037590"	"3.501906 +- 0.069340"	"3.653146 +- 0.032952"	"3.766061 +- 0.060871"	"3.872669 +- 0.093519"	"3.900658 +- 0.055323"	""	""	""	""	""	""	""	""	""	""	""	""	""
"0.7"	""	""	""	"3.520123 +- 0.043251"	"2.739709 +- 0.030808"	"2.263050 +- 0.020528"	"1.251089 +- 0.016133"	"0.620048 +- 0.012921"	"1.042256 +- 0.012763"	"1.700014 +- 0.015158"	"2.123214 +- 0.012713"	"2.337185 +- 0.013663"	"2.408769 +- 0.021438"	"2.250593 +- 0.018397"	"2.556340 +- 0.030315"	"2.964208 +- 0.036176"	"3.062028 +- 0.031768"	"3.472011 +- 0.048673"	"3.774580 +- 0.068217"	"3.896727 +- 0.109375"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"0.8"	""	""	""	"3.902245 +- 0.092817"	"3.897564 +- 0.111818"	"3.817343 +- 0.071575"	"3.527410 +- 0.076335"	"3.187383 +- 0.022927"	"2.987987 +- 0.047867"	"3.246354 +- 0.048853"	"3.605502 +- 0.049764"	"3.787639 +- 0.092866"	"3.742563 +- 0.083606"	"3.363131 +- 0.056888"	"2.200945 +- 0.021484"	"1.436933 +- 0.018181"	"2.744376 +- 0.023280"	"3.805252 +- 0.078341"	"3.902630 +- 0.101872"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"0.9"	""	""	""	""	""	""	""	""	""	""	""	""	"3.902662 +- 0.093273"	"3.891842 +- 0.075218"	"3.699843 +- 0.091265"	"3.778224 +- 0.083462"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
