""	"0"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"	"22"	"23"	"24"	"25"	"26"	"27"	"28"	"29"	"30"	"31"	"32"
"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"4.883301"	""	"4.883174"	"4.881949"	"4.881791"	"4.879918"	"4.876702"	"4.861773"	"4.844887"	"4.807455"	"4.764606"	"4.633599"	"4.249170"	"4.041876"	"4.194520"	"4.633724"	"4.858366"
"0.1"	""	""	"4.863823"	"1.894159"	"1.646389"	"-0.000000"	"0.290772"	"3.138785"	"4.714892"	"4.778307"	"4.768475"	"4.711777"	"4.660630"	"4.601361"	"4.544536"	"4.467609"	"4.400089"	"4.344670"	"4.293454"	"4.239267"	"4.187035"	"4.138917"	"4.084741"	"4.010605"	"3.919191"	"3.830249"	"3.780746"	"3.752778"	"3.742857"	"3.785964"	"4.204730"	"4.829909"	""
"0.2"	""	""	"4.357780"	"2.601019"	"2.094071"	"1.063633"	"1.291669"	"3.292587"	"3.257625"	"3.381669"	"3.951081"	"4.254063"	"4.400242"	"4.467015"	"4.546150"	"4.599721"	"4.601439"	"4.572846"	"4.543962"	"4.556763"	"4.529889"	"4.504706"	"4.492380"	"4.486892"	"4.497155"	"4.504259"	"4.572792"	"4.653299"	"4.753958"	"4.859771"	""	""	""
"0.3"	""	""	""	"4.525343"	"4.587970"	"3.850343"	"3.597120"	"3.155288"	"3.094652"	"3.128869"	"2.828292"	"2.534622"	"2.894445"	"3.249653"	"3.642117"	"4.456144"	"4.841742"	"4.856105"	"4.847705"	"4.850101"	"4.842001"	"4.842562"	"4.833874"	"4.820852"	"4.841207"	"4.859414"	"4.869876"	"4.881104"	""	""	""	""	""
"0.4"	""	""	"4.880704"	"3.216931"	"3.280068"	"2.536340"	"2.185435"	"2.177325"	"2.584374"	"3.039507"	"2.935233"	"2.904121"	"3.318419"	"3.674515"	"4.156697"	"4.549902"	"4.801993"	"4.843878"	"4.865239"	"4.866606"	"4.868934"	"4.874707"	"4.872333"	"4.879522"	"4.882400"	""	""	""	""	""	""	""	""
"0.5"	""	""	"4.869334"	"2.457731"	"2.377483"	"2.572166"	"2.562612"	"2.576696"	"2.960378"	"3.441992"	"3.708766"	"3.926967"	"3.996065"	"4.132152"	"4.227802"	"4.420869"	"4.545140"	"4.585854"	"4.652697"	"4.683899"	"4.782772"	"4.854656"	"4.880244"	""	""	""	""	""	""	""	""	""	""
"0.6"	""	""	"4.882630"	"3.138657"	"2.989103"	"3.197289"	"3.199089"	"2.778921"	"2.892915"	"3.002275"	"2.842309"	"2.797957"	"3.068402"	"3.256828"	"3.435984"	"3.796021"	"3.944126"	"4.325974"	"4.557902"	"4.686982"	"4.830859"	"4.879518"	""	""	""	""	""	""	""	""	""	""	""
"0.7"	""	""	""	"4.874737"	"4.875744"	"4.867877"	"4.806844"	"3.937959"	"3.893151"	"4.049331"	"3.820677"	"3.782287"	"3.819256"	"3.644815"	"3.309196"	"2.367508"	"2.412678"	"3.501576"	"4.672562"	"4.870065"	"4.882764"	""	""	""	""	""	""	""	""	""	""	""	""
"0.8"	""	""	""	""	""	""	""	""	""	"4.863977"	"4.873617"	"4.861558"	"4.105346"	"2.735276"	"1.214654"	"0.333060"	"1.688213"	"4.235493"	"4.881876"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"0.9"	""	""	""	""	""	""	""	""	""	""	""	""	"4.883073"	"4.759411"	"3.402994"	"3.777573"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
