""	"0"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"	"22"	"23"	"24"	"25"	"26"	"27"	"28"	"29"	"30"	"31"	"32"	"33"
"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"3.902333"	"3.901880"	"3.898921"	"3.897056"	"3.884102"	"3.866135"	"3.833598"	"3.777921"	"3.654876"	"3.442905"	"2.990365"	"2.761919"	"2.943090"	"3.452431"	"3.830058"	"3.901238"
"0.1"	""	""	""	"2.762159"	"2.196028"	"1.565743"	"1.604553"	"2.195429"	"2.159781"	"2.101105"	"2.130686"	"1.974147"	"2.092468"	"2.184357"	"2.107900"	"2.239286"	"2.461207"	"2.542164"	"2.558472"	"2.616323"	"2.620473"	"2.642851"	"2.645259"	"2.613854"	"2.575155"	"2.507435"	"2.484530"	"2.464488"	"2.468548"	"2.491459"	"2.979130"	"3.755853"	""	""
"0.2"	""	""	"3.847675"	"1.729339"	"0.036956"	"-0.000000"	"0.325116"	"0.365066"	"0.495309"	"0.894923"	"1.114311"	"1.229615"	"1.567931"	"1.887915"	"2.030911"	"2.142237"	"2.163738"	"2.478603"	"2.826710"	"2.961287"	"3.067416"	"3.176883"	"3.179137"	"3.168815"	"3.224745"	"3.320465"	"3.429641"	"3.614526"	"3.756917"	"3.863877"	""	""	""	""
"0.3"	""	""	""	"1.760397"	"0.200143"	"0.381328"	"0.471029"	"0.554606"	"0.650109"	"0.931263"	"1.166341"	"1.460080"	"1.722697"	"1.799431"	"1.743947"	"1.611211"	"1.513595"	"1.904938"	"2.570915"	"3.419185"	"3.772879"	"3.762595"	"3.774299"	"3.777716"	"3.808259"	"3.870144"	"3.890245"	"3.901230"	""	""	""	""	""	""
"0.4"	""	""	"3.796880"	"1.035591"	"0.280504"	"0.408235"	"0.618155"	"0.442695"	"0.485253"	"0.789814"	"1.210683"	"1.560343"	"1.883527"	"2.138694"	"2.435444"	"2.836725"	"3.282167"	"3.672785"	"3.840874"	"3.892899"	"3.888730"	"3.900049"	"3.899334"	"3.893816"	"3.899643"	"3.900311"	""	""	""	""	""	""	""	""
"0.5"	""	""	"3.613414"	"0.513958"	"0.361213"	"0.713052"	"0.763830"	"0.376930"	"0.427644"	"0.755803"	"1.102549"	"1.814648"	"2.479765"	"2.904050"	"3.406868"	"3.668575"	"3.826190"	"3.854961"	"3.886564"	"3.898824"	"3.902116"	"3.902727"	""	""	""	""	""	""	""	""	""	""	""	""
"0.6"	""	""	""	"2.507971"	"1.570979"	"1.548652"	"1.154504"	"1.067971"	"1.217526"	"1.570594"	"1.947413"	"2.380535"	"2.557803"	"2.660055"	"2.947314"	"3.238216"	"3.501906"	"3.653146"	"3.766061"	"3.872669"	"3.900658"	""	""	""	""	""	""	""	""	""	""	""	""	""
"0.7"	""	""	""	"3.520123"	"2.739709"	"2.263050"	"1.251089"	"0.620048"	"1.042256"	"1.700014"	"2.123214"	"2.337185"	"2.408769"	"2.250593"	"2.556340"	"2.964208"	"3.062028"	"3.472011"	"3.774580"	"3.896727"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"0.8"	""	""	""	"3.902245"	"3.897564"	"3.817343"	"3.527410"	"3.187383"	"2.987987"	"3.246354"	"3.605502"	"3.787639"	"3.742563"	"3.363131"	"2.200945"	"1.436933"	"2.744376"	"3.805252"	"3.902630"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"0.9"	""	""	""	""	""	""	""	""	""	""	""	""	"3.902662"	"3.891842"	"3.699843"	"3.778224"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
