""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"	"22"	"23"	"24"	"25"	"26"	"27"	"28"	"29"	"30"	"31"	"32"
"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"4.883301 ± 0.220426"	""	"4.883174 ± 0.230401"	"4.881949 ± 0.211829"	"4.881791 ± 0.257552"	"4.879918 ± 0.224163"	"4.876702 ± 0.238801"	"4.861773 ± 0.187631"	"4.844887 ± 0.213081"	"4.807455 ± 0.210260"	"4.764606 ± 0.195704"	"4.633599 ± 0.163011"	"4.249170 ± 0.102058"	"4.041876 ± 0.086460"	"4.194520 ± 0.082737"	"4.633724 ± 0.155774"	"4.858366 ± 0.216576"
"0.1"	""	"4.863823 ± 0.212843"	"1.894159 ± 0.040339"	"1.646389 ± 0.040220"	"-0.000000 ± 0.036973"	"0.290772 ± 0.037195"	"3.138785 ± 0.068391"	"4.714892 ± 0.202804"	"4.778307 ± 0.204995"	"4.768475 ± 0.168543"	"4.711777 ± 0.240183"	"4.660630 ± 0.174156"	"4.601361 ± 0.151657"	"4.544536 ± 0.166498"	"4.467609 ± 0.131396"	"4.400089 ± 0.133626"	"4.344670 ± 0.124756"	"4.293454 ± 0.115368"	"4.239267 ± 0.104400"	"4.187035 ± 0.099738"	"4.138917 ± 0.089390"	"4.084741 ± 0.087564"	"4.010605 ± 0.084179"	"3.919191 ± 0.069348"	"3.830249 ± 0.075207"	"3.780746 ± 0.077365"	"3.752778 ± 0.069668"	"3.742857 ± 0.066313"	"3.785964 ± 0.067630"	"4.204730 ± 0.092752"	"4.829909 ± 0.213546"	""
"0.2"	""	"4.357780 ± 0.195287"	"2.601019 ± 0.051463"	"2.094071 ± 0.048642"	"1.063633 ± 0.037423"	"1.291669 ± 0.039103"	"3.292587 ± 0.056783"	"3.257625 ± 0.049460"	"3.381669 ± 0.054031"	"3.951081 ± 0.076763"	"4.254063 ± 0.080844"	"4.400242 ± 0.106230"	"4.467015 ± 0.114509"	"4.546150 ± 0.125979"	"4.599721 ± 0.136887"	"4.601439 ± 0.144302"	"4.572846 ± 0.128011"	"4.543962 ± 0.136003"	"4.556763 ± 0.155240"	"4.529889 ± 0.140118"	"4.504706 ± 0.120767"	"4.492380 ± 0.119364"	"4.486892 ± 0.118853"	"4.497155 ± 0.129111"	"4.504259 ± 0.147656"	"4.572792 ± 0.129668"	"4.653299 ± 0.145530"	"4.753958 ± 0.188316"	"4.859771 ± 0.218955"	""	""	""
"0.3"	""	""	"4.525343 ± 0.159275"	"4.587970 ± 0.186975"	"3.850343 ± 0.106877"	"3.597120 ± 0.066690"	"3.155288 ± 0.047170"	"3.094652 ± 0.049371"	"3.128869 ± 0.050166"	"2.828292 ± 0.049275"	"2.534622 ± 0.049596"	"2.894445 ± 0.050558"	"3.249653 ± 0.056173"	"3.642117 ± 0.059739"	"4.456144 ± 0.120843"	"4.841742 ± 0.207776"	"4.856105 ± 0.190461"	"4.847705 ± 0.233995"	"4.850101 ± 0.232683"	"4.842001 ± 0.207963"	"4.842562 ± 0.193843"	"4.833874 ± 0.237661"	"4.820852 ± 0.252636"	"4.841207 ± 0.186254"	"4.859414 ± 0.204948"	"4.869876 ± 0.228830"	"4.881104 ± 0.250088"	""	""	""	""	""
"0.4"	""	"4.880704 ± 0.238623"	"3.216931 ± 0.059489"	"3.280068 ± 0.052310"	"2.536340 ± 0.049470"	"2.185435 ± 0.050424"	"2.177325 ± 0.049938"	"2.584374 ± 0.050333"	"3.039507 ± 0.051040"	"2.935233 ± 0.049179"	"2.904121 ± 0.051883"	"3.318419 ± 0.052511"	"3.674515 ± 0.064787"	"4.156697 ± 0.063599"	"4.549902 ± 0.134904"	"4.801993 ± 0.200265"	"4.843878 ± 0.220369"	"4.865239 ± 0.258328"	"4.866606 ± 0.166632"	"4.868934 ± 0.236325"	"4.874707 ± 0.219618"	"4.872333 ± 0.239713"	"4.879522 ± 0.245073"	"4.882400 ± 0.253352"	""	""	""	""	""	""	""	""
"0.5"	""	"4.869334 ± 0.223337"	"2.457731 ± 0.052784"	"2.377483 ± 0.050718"	"2.572166 ± 0.050641"	"2.562612 ± 0.049877"	"2.576696 ± 0.050802"	"2.960378 ± 0.049666"	"3.441992 ± 0.055378"	"3.708766 ± 0.058274"	"3.926967 ± 0.070308"	"3.996065 ± 0.093332"	"4.132152 ± 0.094137"	"4.227802 ± 0.097857"	"4.420869 ± 0.134307"	"4.545140 ± 0.158189"	"4.585854 ± 0.152712"	"4.652697 ± 0.209958"	"4.683899 ± 0.217119"	"4.782772 ± 0.168718"	"4.854656 ± 0.192730"	"4.880244 ± 0.237627"	""	""	""	""	""	""	""	""	""	""
"0.6"	""	"4.882630 ± 0.197604"	"3.138657 ± 0.053475"	"2.989103 ± 0.052665"	"3.197289 ± 0.054972"	"3.199089 ± 0.053166"	"2.778921 ± 0.053193"	"2.892915 ± 0.052798"	"3.002275 ± 0.052539"	"2.842309 ± 0.054732"	"2.797957 ± 0.054741"	"3.068402 ± 0.057230"	"3.256828 ± 0.058822"	"3.435984 ± 0.064806"	"3.796021 ± 0.070860"	"3.944126 ± 0.090784"	"4.325974 ± 0.126061"	"4.557902 ± 0.157651"	"4.686982 ± 0.183698"	"4.830859 ± 0.241432"	"4.879518 ± 0.230107"	""	""	""	""	""	""	""	""	""	""	""
"0.7"	""	""	"4.874737 ± 0.222740"	"4.875744 ± 0.217487"	"4.867877 ± 0.229824"	"4.806844 ± 0.202868"	"3.937959 ± 0.063543"	"3.893151 ± 0.062254"	"4.049331 ± 0.080317"	"3.820677 ± 0.074448"	"3.782287 ± 0.070300"	"3.819256 ± 0.073672"	"3.644815 ± 0.077357"	"3.309196 ± 0.106422"	"2.367508 ± 0.109842"	"2.412678 ± 0.102492"	"3.501576 ± 0.111418"	"4.672562 ± 0.175964"	"4.870065 ± 0.249331"	"4.882764 ± 0.247505"	""	""	""	""	""	""	""	""	""	""	""	""
"0.8"	""	""	""	""	""	""	""	""	"4.863977 ± 0.233112"	"4.873617 ± 0.203601"	"4.861558 ± 0.204694"	"4.105346 ± 0.131192"	"2.735276 ± 0.113674"	"1.214654 ± 0.102763"	"0.333060 ± 0.102162"	"1.688213 ± 0.103644"	"4.235493 ± 0.135227"	"4.881876 ± 0.209851"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"0.9"	""	""	""	""	""	""	""	""	""	""	""	"4.883073 ± 0.210341"	"4.759411 ± 0.176666"	"3.402994 ± 0.112608"	"3.777573 ± 0.134466"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
