""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"	"22"	"23"	"24"	"25"	"26"	"27"	"28"	"29"	"30"	"31"	"32"	"33"
"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"5.357316 ± 0.478416"	"5.356061 ± 0.405848"	"5.355453 ± 0.290310"	"5.350783 ± 0.332855"	"5.344969 ± 0.388518"	"5.329188 ± 0.353648"	"5.318039 ± 0.343012"	"5.280403 ± 0.377307"	"5.201871 ± 0.262631"	"5.044391 ± 0.225639"	"4.861100 ± 0.192905"	"4.887180 ± 0.159326"	"5.127898 ± 0.298243"	"5.315002 ± 0.417291"	"5.357261 ± 0.398726"
"0.1"	""	""	"5.256000 ± 0.399226"	"5.204008 ± 0.320722"	"4.959728 ± 0.180282"	"4.919783 ± 0.222107"	"4.806645 ± 0.137356"	"4.660635 ± 0.111742"	"4.509762 ± 0.106336"	"4.327221 ± 0.083237"	"4.205465 ± 0.060821"	"4.334593 ± 0.082049"	"4.404753 ± 0.113288"	"4.331531 ± 0.105900"	"4.512627 ± 0.130121"	"4.767213 ± 0.143422"	"4.730942 ± 0.177172"	"4.692477 ± 0.168257"	"4.641210 ± 0.185927"	"4.597414 ± 0.141361"	"4.571092 ± 0.159458"	"4.565742 ± 0.122887"	"4.550812 ± 0.152476"	"4.497074 ± 0.124942"	"4.485474 ± 0.108166"	"4.445942 ± 0.143438"	"4.391791 ± 0.132031"	"4.446216 ± 0.157764"	"4.522538 ± 0.156868"	"4.854796 ± 0.165343"	"5.296792 ± 0.310633"	""	""
"0.2"	""	"5.293855 ± 0.342969"	"3.344681 ± 0.068699"	"3.275089 ± 0.064890"	"3.489039 ± 0.063244"	"3.026682 ± 0.059078"	"2.908694 ± 0.060245"	"3.146238 ± 0.058784"	"3.430288 ± 0.060544"	"3.530475 ± 0.060843"	"3.613350 ± 0.062845"	"3.900819 ± 0.066937"	"4.214570 ± 0.104069"	"4.366026 ± 0.094390"	"4.621998 ± 0.107282"	"4.896334 ± 0.164335"	"4.914569 ± 0.168870"	"4.913888 ± 0.178077"	"4.918405 ± 0.170406"	"4.928434 ± 0.158061"	"4.951735 ± 0.202429"	"4.960023 ± 0.235284"	"4.970950 ± 0.234086"	"4.977530 ± 0.236372"	"5.018077 ± 0.158664"	"5.093773 ± 0.214353"	"5.185732 ± 0.328022"	"5.284351 ± 0.431419"	"5.343081 ± 0.293713"	"5.357252 ± 0.375408"	""	""	""
"0.3"	""	"5.294539 ± 0.271677"	"3.069479 ± 0.064151"	"2.748029 ± 0.065680"	"3.110095 ± 0.062365"	"3.407639 ± 0.061310"	"3.637238 ± 0.061972"	"4.028498 ± 0.062593"	"4.171438 ± 0.074121"	"4.482413 ± 0.099388"	"4.811496 ± 0.165258"	"4.962403 ± 0.249326"	"5.141659 ± 0.275306"	"5.209472 ± 0.307817"	"5.265516 ± 0.318620"	"5.301561 ± 0.345125"	"5.302026 ± 0.375738"	"5.288922 ± 0.361492"	"5.289978 ± 0.318629"	"5.299186 ± 0.443237"	"5.302702 ± 0.399233"	"5.293327 ± 0.398863"	"5.297964 ± 0.409574"	"5.302744 ± 0.424777"	"5.320151 ± 0.317298"	"5.346988 ± 0.381369"	"5.354763 ± 0.356530"	""	""	""	""	""	""
"0.4"	""	"5.350266 ± 0.355829"	"3.307956 ± 0.063897"	"3.136710 ± 0.067902"	"3.124781 ± 0.066540"	"3.624971 ± 0.072616"	"3.769499 ± 0.083446"	"3.982709 ± 0.070194"	"4.280084 ± 0.117515"	"4.432025 ± 0.107111"	"4.858257 ± 0.222822"	"5.165656 ± 0.237395"	"5.223145 ± 0.333330"	"5.242741 ± 0.294527"	"5.279903 ± 0.300123"	"5.297426 ± 0.345773"	"5.312529 ± 0.371025"	"5.325791 ± 0.381395"	"5.340037 ± 0.346254"	"5.335401 ± 0.370543"	"5.335664 ± 0.407823"	"5.341249 ± 0.395347"	"5.345371 ± 0.346246"	"5.355292 ± 0.477218"	"5.357214 ± 0.369279"	""	""	""	""	""	""	""	""
"0.5"	""	""	"4.061358 ± 0.080861"	"3.262886 ± 0.069207"	"3.296023 ± 0.066437"	"3.641658 ± 0.074889"	"3.577422 ± 0.074068"	"3.695249 ± 0.069715"	"3.911491 ± 0.076275"	"4.065570 ± 0.090542"	"4.512721 ± 0.110716"	"4.742752 ± 0.168977"	"4.693020 ± 0.165583"	"4.734544 ± 0.196765"	"4.925365 ± 0.255933"	"5.083583 ± 0.351692"	"5.234564 ± 0.380707"	"5.271123 ± 0.364393"	"5.258294 ± 0.359790"	"5.245103 ± 0.303541"	"5.287583 ± 0.402352"	"5.347554 ± 0.344194"	"5.356571 ± 0.424250"	""	""	""	""	""	""	""	""	""	""
"0.6"	""	""	"4.908607 ± 0.259981"	"4.346632 ± 0.130740"	"4.869362 ± 0.154848"	"4.583217 ± 0.156647"	"4.433783 ± 0.137805"	"4.443562 ± 0.127669"	"4.645724 ± 0.159596"	"4.531827 ± 0.149999"	"4.365557 ± 0.109165"	"4.160698 ± 0.110823"	"4.049568 ± 0.120884"	"4.483932 ± 0.144542"	"4.967444 ± 0.229899"	"5.141952 ± 0.355216"	"5.184309 ± 0.259784"	"5.112808 ± 0.240812"	"5.132499 ± 0.273612"	"5.254600 ± 0.328314"	"5.349513 ± 0.423460"	""	""	""	""	""	""	""	""	""	""	""	""
"0.7"	""	""	"5.352778 ± 0.388433"	"4.878240 ± 0.199903"	"4.567314 ± 0.147395"	"3.587221 ± 0.111025"	"3.518179 ± 0.110559"	"3.806160 ± 0.115731"	"4.150532 ± 0.139215"	"4.599525 ± 0.160420"	"5.090443 ± 0.255246"	"4.618684 ± 0.202481"	"4.302472 ± 0.138731"	"3.743592 ± 0.094183"	"2.352884 ± 0.033480"	"2.508670 ± 0.038150"	"4.111638 ± 0.126556"	"5.161887 ± 0.252604"	"5.318978 ± 0.422880"	"5.357229 ± 0.402697"	""	""	""	""	""	""	""	""	""	""	""	""	""
"0.8"	""	""	""	""	"5.349660 ± 0.366159"	"4.998266 ± 0.228567"	"3.718556 ± 0.118664"	"3.285366 ± 0.115144"	"3.660344 ± 0.121517"	"4.413581 ± 0.131466"	"5.078998 ± 0.208286"	"3.614584 ± 0.104402"	"2.325351 ± 0.032012"	"0.791349 ± 0.010205"	"-0.000000 ± 0.001007"	"1.519297 ± 0.018357"	"4.288804 ± 0.144568"	"5.356830 ± 0.338871"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"0.9"	""	""	""	""	""	""	""	""	""	""	""	"5.266295 ± 0.341400"	"4.525588 ± 0.204306"	"3.071346 ± 0.069111"	"3.271610 ± 0.061768"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
